,Publisher,Frequency,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
534,Number None,1,0.0,0.02,0.0,0.01,0.03
535,CBS Electronics,1,0.29,0.02,0.0,0.0,0.31
536,Panther Software,1,0.02,0.02,0.12,0.01,0.17
537,Fields,1,0.0,0.0,0.03,0.0,0.03
538,Quintet,1,0.0,0.0,0.02,0.0,0.02
539,Pow,1,0.0,0.0,0.05,0.0,0.05
540,"Interworks Unlimited, Inc.",1,0.01,0.0,0.0,0.0,0.01
541,Vap,1,0.0,0.0,0.05,0.0,0.05
542,Warashi,1,0.0,0.0,0.02,0.0,0.02
543,The Learning Company,1,0.03,0.02,0.0,0.0,0.05
544,DreamWorks Interactive,1,0.07,0.05,0.0,0.01,0.13
545,Axela,1,0.0,0.0,0.24,0.02,0.25
546,Mystique,1,0.76,0.05,0.0,0.01,0.82
547,Wizard Video Games,1,0.58,0.03,0.0,0.01,0.62
548,Type-Moon,1,0.0,0.0,0.1,0.0,0.1
549,Naxat Soft,1,0.0,0.0,0.01,0.0,0.01
550,New World Computing,1,0.01,0.0,0.0,0.0,0.01
551,Ultravision,1,0.44,0.03,0.0,0.0,0.47
552,Ongakukan,1,0.0,0.0,0.01,0.0,0.01
553,Playmates,1,0.16,0.11,0.0,0.02,0.28
554,Saurus,1,0.01,0.01,0.0,0.0,0.02
555,Marvelous Games,1,0.0,0.0,0.02,0.0,0.02
556,Seventh Chord,1,0.0,0.0,0.08,0.0,0.08
557,iWin,1,0.0,0.05,0.0,0.01,0.06
558,Griffin International,1,0.08,0.0,0.0,0.01,0.09
559,TalonSoft,1,0.49,0.33,0.0,0.06,0.87
560,Graphsim Entertainment,1,0.0,0.02,0.0,0.0,0.02
561,Kids Station,1,0.0,0.0,0.03,0.0,0.03
562,Evolution Games,1,0.0,0.0,0.06,0.0,0.07
563,Phoenix Games,1,0.02,0.0,0.0,0.0,0.02
564,On Demand,1,0.12,0.08,0.0,0.01,0.21
565,Karin Entertainment,1,0.0,0.0,0.02,0.0,0.02
566,Stainless Games,1,0.01,0.01,0.0,0.0,0.01
567,Plenty,1,0.0,0.0,0.02,0.0,0.02
568,Kando Games,1,0.02,0.01,0.0,0.0,0.03
569,Her Interactive,1,0.03,0.0,0.0,0.0,0.03
570,Visco,1,0.02,0.0,0.0,0.0,0.02
571,Epic Games,1,0.01,0.0,0.0,0.0,0.01
572,fonfun,1,0.0,0.0,0.02,0.0,0.02
573,American Softworks,1,0.13,0.09,0.0,0.02,0.23
574,KSS,1,0.0,0.0,0.03,0.0,0.03
575,Legacy Interactive,1,0.04,0.0,0.0,0.0,0.04
576,id Software,1,0.02,0.0,0.0,0.0,0.03
577,Westwood Studios,1,1.55,0.0,0.0,0.0,1.55
